VendorNumber,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorZip,VendorState,VendorCountry,VendorContactPhone,VendorContactFax,VendorContact,VendorContactEmail,VendCommCode,VendMinority,VendDesignated,VendIndustry,VendorKey,ShipToLocation,Currency
"050016","TRUELINE INC.","124 DIVISION STREET","","LA CROSSE","54601","WI","USA","(608)782-6445","(608)782-9653","MARY PETERSON","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",22590,"EPDC","DLL"
"050018","HARTFORD TECHNOLOGIES","1022 ELM STREET","","ROCKY HILL","6067","CT","USA","(860)571-3640","(860)571-3604","CONTACT NAME","DERICSON@HTCO.COM","CC"," "," ","????",27616,"EPDC","DLL"
"050019","ACCURATE PRODUCTS","4645 NORTH RAVENSWOOD AVE","","CHICAGO","60640-4584","IL","USA","773-878-2200","773-878-3290","MIKE SUHAJDA","MIKE@ACCURATE-PROD.COM","CC"," "," ","????",28023,"EPDC","DLL"
"050021","SOLID INTEGRATIONS LLC","7101 N. MESA SUITE 359","","EL PASO","79912","TX","USA","656 637-1493(EXT118)","915-603-3755","ARTURO CHAVEZ/RODOLFO DE LA RE","ARTURO.CHAVEZ@SOLIDINTEGRATIONS.NET  656 382 9105","CC","N","N","",29028,"EPDC","DLL"
"050023","ZIERICK MANUFACTURING COR","131 RADIO CIRCLE","","MOUNT KISCO","10549","NY","USA","914-666-2911","914-666-0216","KEN CRANNA","KCRANNA@ZIERICK.COM","CC"," "," ","????",29430,"EPDC","DLL"
"050024","FRANTZ MANUFACTURING COMPANY","3201 WEST LEFEVRE ROAD","","STERLING","61071","IL","","815-622-2111","815-625-1162","CONTACT NAME","PHUNTER@FRANTZ-MFG.COM","CC"," "," ","????",30240,"EPDC","DLL"
"050025","GREAT LAKES FRICTION PRODUCTS","8964 NORTH 51 STREET","","MILWAUKEE","53223","WI","USA","414-365-1550","414-365-1552","CHRIS BUTZEN","","CC","N","N","????",32053,"EPDC","DLL"
"050026","ADMO INC.","2550 DECADE COURT","","ELGIN","60124-7861","IL","","847-741-5777","","MARY GAYNOR","MGAYNOR@ADMOINC.COM","CC","N","N","AUTO",32069,"EPDC","DLL"
"050027","GASKET ENGINEERING CO.; INC.","P.O. BOX 320288","4500 EAST 75TH TERRACE","KANSAS CITY","64132","MO","USA","816-3638333","816-363-3558","CONTACT NAME","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",32077,"EPDC","DLL"
"050028","KETTLE MORAINE MFG. INC.","132 W. OTTAWA AVENUE","","DOUSMAN","53118","WI","USA","262-719-4995","262-965-2912","MARGE KRUEGER","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",32078,"EPDC","DLL"
"050029","RAYMOND TINNERMAN MANUFACTURING","800 W CO RD 250S","","LOGANSPORT","46947","IN","USA","574-737-3262","330-558-0885","","DARLA.CLARK@RAYMONDTINNERMAN.COM","CC"," "," ","????",32084,"EPDC","DLL"
"050030","NORTHERN INDUSTRIAL PRODUCTS CORP","20380 CORNILLIE DRIVE","","ROSEVILLE","48066","MI","USA","586-293-9544","","ANGELA ROUSSEAU","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",32154,"EPDC","DLL"
"050036","3D SYSTEMS, INC.","333 THREE D SYSTEMS CIRCLE","","ROCK HILL","29730","SC","USA","770-901-3244","770-901-3232","JUSTIN HOWARD","JHOWARD@QUICKPARTS.COM","CC","Y"," ","AUTO",32276,"EPDC","DLL"
"050039","NELCO PRODUCTS","22 RIVERSIDE DRIVE","","PEMBROKE","02359","MA","USA","800-346-3526","","ANDREW MOSS","AMOSS@NELCOPRODUCTS.COM","CC"," "," ","AUTO",32280,"EPDC","DLL"
"050047","SIGNATURE ENGINEERED SOLUTIONS LLC","2640 WHITE OAK CIRCLE","UNIT F","AURORA","60502","IL","USA","800-562-1959","630-376-0582","BOB WEIERSHEUSER","MCHIAPPETTA@SIGENGINEERED.COM","CC","N"," ","",32292,"EPDC","DLL"
"050048","SERV-ALL DIE AND TOOL COMPANY","110 ERICK STREET","","CRYSTAL LAKE","60014","IL","USA","815-459-2900","815-459-8456","JESSICA SANCHEZ","PMORETON@SERV-ALL.COM","CC","N"," ","AESF",32296,"EPDC","DLL"
"050049","C&L RIVET CO","220 JACKSONVILLE RD","","HARTBORO","19040","PA","USA","215-672-1113","215-672-3145","PAT TAYLOR","SALES@CLRIVET.COM","CC"," "," ","",32298,"EPDC","DLL"
"050050","OZARK DIE CASTING CO.","1005 LOFTING INDUSTRIAL CO.","","ST CLAIRE","63077","MO","USA","636-629-4244","","SUPPLIER INFORMATION","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32309,"EPDC","DLL"
"050052","JADE INNOVATIONS","457 RENAUD LINE","","BELLE RIVER","NOR1A0","ON","CANADA","","","SUPPLIER INFORMATION","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32315,"EPDC","DLL"
"050054","WESTERN DIVERSIFIED PLASTICS","17 SOUTH HIGH STREET","","COLUMBUS","43215","OH","USA","269-688-3393","","MIKE WAIT","ENTER MAIN CONTACT EMAIL HERE","CC","Y"," ","",32328,"EPDC","DLL"
"050055","CARLISLEIT - THERMAX","BLVD LUIS DONALDO COLOSIO M.1195","COLONIA OBRERA","NOGALES","84048","SONORA","MEXICO","661-295-3100","","JANET CHRISTENSEN","ENTER MAIN CONTACT EMAIL HERE","CC","N","N","AUTO",32333,"EPDC","DLL"
"050056","VARFLEX CORPORATION","512 WEST COURT STREET","","ROME","13440","NY","USA","315-336-4400","315-336-0005","TAMI LORD","SALES@VARFLEX.COM","CC"," "," ","",32339,"EPDC","DLL"
"050057","FRED R. RIPPY; INC.","12471 E. WASHINGTON BLVD.","","WHITTIER","90602","CA","USA","(562) 698-9801 X102","562-324-6665","AMY KOGA","SALES@FRRIPPY.COM","CC"," "," ","",32347,"EPDC","DLL"
"050060","INTREPID COATINGS","1910 EAST RIVERVIEW DR","","PHOENIX","85034","AZ","USA","602-243-3293","602-268-6801","ALLY VICK","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32361,"EPDC","DLL"
"050061","MAGNA-TECH MFG.","3416 HOYT AVE","","MUNCIE","47302","IN","USA","765-284-5050","","TERESA SAUNDERS X 174","TSAUNDERS@MAGNATECHMFG.COM","CC"," "," ","AUTO",32365,"EPDC","DLL"
"050062","EBTEC","120 SHOE MAKER LANE","","AGAWAM","01001","MA","","413-786-0393","413-789-2851","JOYCE HANSCOM","WWW.EBRECCORP.COM","CC","Y"," ","",32370,"EPDC","DLL"
"050064","PLASTIC INJECTION MOLDERS OF ARIZONA, INC DBA PIMA PLASTICS","828 W. 24TH ST","","TEMPE","85282","AZ","USA","480-966-8984","480-966-8991","EVIE TRUXES","BOB@PIMARPLASTICS.COM","CC","N","N","AUTO",32401,"EPDC","DLL"
"050065","MAGNET APPLICATIONS","1510 HOWARD STREET","","ELK GROVE VILLA","60007","IL","USA","847-912-1414","","MAGNA","RENEAGELLING@MAGNETUS.COM","CC"," "," ","AUTO",32408,"EPDC","DLL"
"050066","MARKEL CORPORATION","435 SCHOOL LANE","","PLYMOUTH MEETIN","19462","PA","USA","610-292-9456","610-292-9456","DORIK FEDAK","DFEDAK@MARKELCORPORATION","CC"," "," ","",32416,"EPDC","DLL"
"050067","BRIDGE CHEMICAL COMPANY S.A. DE C.V.","CALLE NOGAL # 412 COL GRANJAS","","CHIHUAHUA","31160","CH","MEX","614-421-0287","614-421-0287 X118","ROSY CADENAS","SERVICIOALCLIENTE@DQNTE.COM","CC"," "," ","",32445,"EPDC","DLL"
"050068","PEI-GENESIS","4500 S LAKE SHORE DRIVE","SUITE 240","TEMPE","85282","AZ","USA","480-456-9600 X85009","480-456-9601","KELLY ROSZAK","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32452,"EPDC","DLL"
"050069","TML-MFG, LLC","16650 CHESTERFIELD GROVE RD","SUITE 120","CHESTERFIELD","63005","MO","USA","636-391-0078","636-754-9111","PATTY LA VOLPA","PATTY.LAVOLPA.TMLMFG.COM","CC","Y"," ","",32454,"EPDC","DLL"
"050070","GENT MACHINE COMPANY","445 SOUTH GREEN RD","","SOUTH EUCLID","44121","OH","USA","216-481-2334","216481-7698","RICH GENT","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32465,"EPDC","DLL"
"050071","BOWDEN MANUFACTURING CORP","4590 BEIDLER RD","","WILLOUGHBY","44094","OH","","440-946-1770","440-946-1789","KATHY BERNHARDT","KATHY@BOWDENMFG.COM","CC"," "," ","",32469,"EPDC","DLL"
"050072","HERNON MANUFACTURING INC.","121 TECH DRIVE","","SANFORD","32771","FL","USA","407-378-3022","407-321-9700","MARCO FIGUEROA","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32482,"EPDC","DLL"
"050074","TEC MOLD INDUSTRIAL GROUP LIMITED","UNIT A5 TOWER B3-B4 TONG FUYU INDUSTRIAL PARK","SHAJING STREET BAOAN DISTRICT","SHENZHEN","518104","GUANGDONG","","86-755-89809672","","NANCY  EXT 6098","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32489,"EPDC","DLL"
"050075","PRECIOUS PLATE","2124 LIBERTY DRIVE","","NIAGARA FALLS","14304","NY","USA","716-283-0690","","TERESA SCZESNIAK","TSCZESNIAK@PRECIOUSPLATE.COM","CC"," "," ","",32500,"EPDC","DLL"
"050076","QCOMPONENTS","14271 NW SCIENCE PARK DR","","PORTLAND","97229","OR","","503-292-5541","503-292-5409","WAYNE CARLSON","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32501,"EPDC","DLL"
"050078","G.L. HUYETT","P.O.  BOX 232","","MINNEAPOLIS","67467","KS","USA","785-392-3017","785-392-2845","TRACY KRAL","KWORLEY@HUYETT.COM","CC","Y","J","",32524,"EPDC","DLL"
"050079","KEMPER AIP METALS LLC","518 COUNTY ROAD 513 SUITE B","","CALIFON","07830","NJ","USA","732-800-1247","908-975-3097","PATTY NOVICKSY","PATTY.NOVICSKY@KEMPERAIPMETALS.COM","CC","Y","J","",32525,"EPDC","DLL"
"050080","TAYLOR SCREW PRODUCTOS","16894 HAGGERTY RD","","BELLEVILLE","48111","MI","USA","734-697-8018","734-697-3160","KATHLEEN KONDZER","KATHY@TAYLORSCREWPRODUCTS.COM","CC","Y","J","",32527,"EPDC","DLL"
"050081","WOLVERINE COIL SPRING CO","818 FRON NW","","GRAND RAPIDS","45904","MI","USA","616-340-6774","","JIM BENNETT","JBENNETT@WOLVERINECOILSPRING.COM","CC","Y"," ","",32528,"EPDC","DLL"
"050082","TELLNAR, INC.","727 TEK DRIVE","","CRYSTAL LAKE","60014-8172","IL","USA","815-356-8044","815-356-8140","RICHARD SCHMIDT","RICHARD.SCHMIDT@TELLENAR.COM","CC","Y","J","",32529,"EPDC","DLL"
"050083","LENNI PRODUCTS, INC","345 LENNI ROAD","","LENNI","","PA","USA","610-459-0700","610-459-1667","MICHAEL RAKITSKY","LENPRO@AOL.COM","CC","Y","J","",32534,"EPDC","DLL"
"050084","COSMO CORPORATION","30201 AURORA ROAD","","CLEVELAND","","OH","USA","440-498-7500","440-498-7515","JERI ANN  SMITH","PRDENGUS@COSMOCORP.COM","CC","Y","J","",32535,"EPDC","DLL"
"050086","SAIA-BURGESS LLC","801 SCHOLZ DR","","VANDALIA","45377","OH","USA","734-392-5352","","","ENTER MAIN CONTACT EMAIL HERE","CC","Y"," ","",32551,"EPDC","DLL"
"050087","GEMCO MANUFACTURING CO., INC.","555 WEST QUEEN ST","","SOUTHINGTON","06489","CT","USA","888-766-5166","","","ENTER MAIN CONTACT EMAIL HERE","CC","Y"," ","",32552,"EPDC","DLL"
"050092","CME WIRE AND CABLE","495 HORIZON DRIVE NE  SUITE 100","","SUWANEE","30024","GA","USA","770-623-0001","","MARGARET CULLARS","TCHITTY@CMEWIRE.COM","CC","N"," ","",32576,"EPDC","DLL"
"050093","IRONWOOD PLASTICS","1235 WALL STREET","","IRONWOOD","49939","MI","USA","906-932-5025","","THOMAS TALASKA","ENTER MAIN CONTACT EMAIL HERE","CC","N"," ","",32577,"EPDC","DLL"
"050094","SENSATA TECHNOLOGIES, INC","529 PLEASANT STREET","","ATTLEBORO","02703","MA","USA","508-236-3287","","MARYELLEN PHANEUF","MPHANEUF@SENSATA.COM","CC","N"," ","",32578,"EPDC","DLL"
"055003","MORAINE PLASTICS;LLC","2195 STONEBRIDGE ROAD","","WEST BEND","53095","WI","USA","","","SUPPLIER INFORMATION","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",32322,"EPDC","DLL"
"055007","WIEGEL TOOL WORKS, INC.","935 NORTH CENTRAL AVE","","WOOD DALE","60191","IL","USA","630-595-6550","","ANGEL WOYAK","AWOYAK@WIEGELTOOLWORKS.COM","CC"," "," ","",32443,"EPDC","DLL"
"055013","NEXUS ELECTRONICS LLC","15516 DUPONT AVE","","CHINO HILLS","91710","CA","USA","","","SUPPLIER INFORMATION","CONTACT@NEXELEC.COM","CC","Y","J","",32546,"EPDC","DLL"
"060006","MIDWEST PROTOTYPING; LLC","10949 BLACKHAWK DR.","","BLUE MOUNDS","53517","WI","USA","","","SUPPLIER INFORMATION","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",32220,"EPDC","DLL"
"060045","BIZLINK TECH INC","8001 ARTCRAFT RD","","EL PASO","79932","TX","USA","915-877-4888","915-304-0886","SUPPLIER INFORMATION","ENTER MAIN CONTACT EMAIL HERE","CC","N"," ","",32747,"EPDC","DLL"
"070009","BGM ENGINEERING INC","14100 SIMONE DR","","SHELBY TWP","","MI","USA","586-532-8670","586-532-8671","JOE MAZUR","JMAZUR@BGMENG.COM","CC","Y"," ","",32539,"EPDC","DLL"
"077001","JOHN HASSAL LLC","609-1 CANTIAGUE ROCK ROAD","","WESTBURG LONG I","11590","NY","USA","516-334-6496","516-334-6496","JON OSTIN","ENTER MAIN CONTACT EMAIL HERE","CC","N"," ","",32621,"EPDC","DLL"
"080000","PRODUCTOS QUIMICOS GALAXIA  SA DE CV","AVE CESAREO SANTOS DE LEON # 6207","","CD JUAREZ","32650","CH","USA","656-620-77-60","","ANA TAGLE","CONTABILIDAD@PQGALAXIA.COM.MX","CC","N"," ","",32624,"EPDC","DLL"
"094000","STATE SEAL COMPANY","4135 E WOOD ST","","PHOENIX","85040","AZ","USA","602-296-6919","","SANDI WODNERLY","ENTER MAIN CONTACT EMAIL HERE","CC","N"," ","",32590,"EPDC","DLL"
"1","A G I RUBBER CO.","P.O. BOX 898","","BRIDGEPORT","06601","CT","","203-366-4318","","PHIL","","  ","N","N","",103,"EPDC","DLL"
"10020","ALFA AESAR","30 BOND ST","","WARD HILL","01835","MA","","800 343-0660","978-521-6330","JOHN BOWEN","JOHN.BOWEN@ALFA.COM","CC","N"," ","AUTO",105,"EPDC","DLL"
"10021","ASTRO MFG & DESIGN","34459 CURTIS BLVD","","EASTLAKE","44095","OH","USA","440-946-8171X1119","440-946-1197","REGGI KUCERA / KEN KINDER","RKUCERA@ASTROMFG.COM OR KKINDER@ASTROMFG.COM","MM"," "," ","AERO",106,"EPDC","DLL"
"10034","MICHIGAN SPRING AND STAMPING","1210 BARRANCA DRIVE","","MUSKEGON","79935","MI","U.S.A.","231-755-1691","(231)755-0941","TINA BARR","TBARR@MSANDS.COM","MM","1"," ","AUTO",107,"EPDC","DLL"
"10035","WIRE MASTERS INC.","136 ALPHA DRIVE","","FRANKLIN","37064","TN","USA","615-791-0281","615-791-6182","STEVE ZIMMERMANN","SZIMMERMANN@WIREMASTERS.NET","WW","N","N","AUTO",108,"EPDC","DLL"
"10036","GUDEBROD; INC.;","274 SHOEMAKER RD.;","","POTTSTOWN","19464","PA","USA","610-327-4050","610-327-4588","LINDA TREVELINO","","  "," "," ","",109,"EPDC","DLL"
"10037","THOMSON LAMINATION CO INC.","504 E PINE & LINWOOD AVE","FDX.0191-2712-5","MAPLE SHADE","08052","NJ","USA","856-779-8521","856-779-8819","KEITH BOSWICK","KBOSWICK@TLCLAM.NET","MM","N","N","AERO",110,"EPDC","DLL"
"10038","COMPAX INC.","1210 BLUE GUM ST.","","ANAHEIM","92806","CA","USA","714-632-1344","714-632-1344","MICHELLE MAYS","MICHELLE@COMPAX.COM","CC","N","N","AESF",111,"EPDC","DLL"
"100381","COSMOS NORTH AMERICA","519 S. 3RD AVE # A","","ARCADIA","91006","CA","USA","408-329-4497","","SEAN TCHEOU","SEAN@COSMOS-NA.COM","CC"," "," ","????",32100,"EPDC","DLL"
"10040","TRANSAMERICA MATERIAL HANDLING","11450 JAMES WATT STE. A-2","","EL PASO","79936","TX","USA","915-590-0166","915-590-0701","JOE GRISANTI","","  "," "," ","",113,"EPDC","DLL"
"10045","PRODUCTIVITY-QUALITY SYST INC.","P.O. BOX 750010","","DAYTON","45475","OH","","937-885-2255","937-885-2252","","","  "," "," ","",116,"EPDC","DLL"
"10046","ARBOR INDUSTRIES","6830 PATTERSON DR.","","MENTOR","44060","OH","USA","440-255-4720","440-255-9192","ANNA PAVELECKY","ANNA_PAVELECKY@  ARBORINDUSTRIESINC","MM","N","N","AESF",117,"EPDC","DLL"
"10047","BURTON INDUSTRIES INC.","7875 DIVISION DR.","","MENTOR","44060","OH","USA","440-974-1700","440-974-0951","CHRIS BURTON","BURTONJRC@BURTONIND.COM","MM","N","N","AERO",118,"EPDC","DLL"
"10048","NAM","17030 MUSKRAT AVE.;","","ADELANTO","92301","CA","USA","800-331-0278","714-828-4279","MULTI","","  "," "," ","",119,"EPDC","DLL"
"1005","EMPAQUES INDUSTRIALES","2120 EAST PAISANO DR.","SUITE 501","EL PASO","79905","TX","U.S.A.","620-01-09","","ARACELY/LUIS CASTILL","","PP"," "," ","AUTO",121,"EPDC","DLL"
"10052","CLETRONICS","2262 PORT CENTRE DR.","","MEDINA","44256","OH","USA","330-239-2002","330-722-3040","KATHLEEN M. SANDS","KSANDS@CLETRONICS.COM","EE","N","N","AESF",124,"EPDC","DLL"
"10053","ISLAND MACHINE","12 EVERGREEN PLACE","","DEERPARK","11729","NY","USA","631-667-9393","631-242-3494","JOHN BURNS","BB6THDAN@AOL.COM","MM","N","N","AERO",125,"EPDC","DLL"
"10054","ALIGN AEROSPACE","3017 RED HAWK DR.","","GRAND PRAIRIE","75052","TX","USA","817-719-2418","817-719-2488","CAROLYN GAONA-HEDGLIN","CAROLYN.GAONA-HEDGLIN@ALIGNAERO.COM","DD","N","N","AESF",126,"EPDC","DLL"
"10055","RANBAR ELECTRICAL MATERIALS","ROUTE 993","","MANOR","15665","PA","USA","724-864-8223","724-864-8232","TOM KING","","  "," "," ","",127,"EPDC","DLL"
"10056","ASMO NORTH CAROLINA INC.","470 CRAWFORD RD.","","STATESVILLE","28625-8504","NC","USA","704-924-6028","704-872-9786","LOGAN STONE","LSTONE@ASMO-NA.COM","EE","N","N","AUTO",128,"EPDC","DLL"
"10057","TYCO ELECTRONICS CORP.","2800 FULLING MILL RD.","","MIDDLETOWN","17057","PA","USA","877-800-7245","717-986-3611","TONI NOVAC","TONI.NOVAK@TYCOELECTRONICS.COM PH(650)361-3321","EE","N","J","AUTO",129,"EPDC","DLL"
"10058","EIS ( EL PASO )","420-A PAN AMERICAN DR. SUITE 6","","EL PASO","79907","TX","USA","915-859-2748","915-860-8603","JUAN LARA - CASH IN ADVANCE","JLARA@EIS-INC.COM","DD","N","N","AERO",130,"EPDC","DLL"
"10059","AMTRONICS INC.;","AMTRONICS. INC.;","210 DOUGLASS STREET","BROOKLYN","11217","NY","","718-625-3000","718-625-1411","ANNETTE NIVES","","  "," "," ","",131,"EPDC","DLL"
"10061","GE SUPPLY (GEXPRO)","1640 SATELLITE BLVD","","DULUTH","30097","GA","USA","770-495-9555","770-495-9510","CHRISTINA LYNCH","CHRISTINA.LYNCH@GEXPRO.COM","EE","Y"," ","AESF",133,"EPDC","DLL"
"10062","TUFFER MANUFACTURING CO.INC.;","163 EAST LIBERTY AVE.;","","ANAHEIM","92801","CA","USA","714-526-3077 X 110","714-525-0197","MARIA ACEVES","MARIA@TUFFERMFG.COM","MM","N","N","AESF",134,"EPDC","DLL"
"10065","SEE GOTT","2400 VINSON","","DALLAS","75212","TX","USA","214-905-6018","214-905-6018","SUE","","  "," "," ","",137,"EPDC","DLL"
"10066","THE CHEMICAL CO.,","19 NARRAGEN SETT AVE.","","JAMESTOWN","02835","RI","USA","401-423-3100","401-423-3102","BARBARA BAKER","","CC"," "," ","AUTO",138,"EPDC","DLL"
"10067","MILLER STEPHENSON CHEMICAL CO.","55 BACKUS AVENUE","","DANBURY","06810","CT","USA","847-966-2022","847-966-8468","MARIA JIMENEZ","MJIMENEZ@MSCHEM.COM","CC","N","J","AUTO",139,"EPDC","DLL"
"10068","PENN SPECIALTY CHEMICALS","3324 N. CHELSEA AVE.;","","MEMPHIS","38108","TN","USA","901-320-4108","901-320-4013","JENNIFER SAYLOR","JSAYLOR@PENNAKEM.COM","CC"," "," ","AUTO",140,"EPDC","DLL"
"10071","ALLIED TOOLS OF TEXAS","5230 GALVESTON RD.","","HOUSTON","77017-6146","TX","USA","713-943-8500","713-943-8550","JOHN NASH / BECKY FRIAS","JNASH@ OR BFRIAS@  ALLIED-TOOLS.COM","CC","N","N","AESF",143,"EPDC","DLL"
"10079","ASSOCIATED SPRING","226 S. CENTER ST.;","","CORRY","16407","PA","USA","814-664-9646","860-409-4699","SCOTT BAILEY","SBAILEY@ASBG.COM","SS"," "," ","AESF",151,"EPDC","DLL"
"10084","NPD TECHNOLOGY","3613 WYOMING","","EL PASO","79903","TX","USA","915-727-3732","915-849-1681","CARLOS MEJIA","","CC"," "," ","AUTO",156,"EPDC","DLL"
"10089","ATLAS WIRE CORP","9525 RIVER STREET","","SCHILLER PARK","60176","IL","","847-678-1210","847-678-1281","THOM","","  "," "," ","",160,"EPDC","DLL"
"10090","LUTZ SALES CO.;","4675 TURNBERRY DR.;","","HANOVER PARK","60103","IL","USA","630-539-5500","630-539-7120","ANNA ANDERMANN","","  "," "," ","",161,"EPDC","DLL"
"10093","PRODUCTION MANUFACTURING INC.","1515 GOODYEAR DR.","","EL PASO","79936","TX","USA","629-9668","","JOE TAYLOR","PMFG@AOL.COM","MM"," "," ","AUTO",164,"EPDC","DLL"
"10096","V & M INDUSTRIAL CORP.","1265 DOY DR.;","","EL PASO","79928","TX","USA","915-852-2994","915-852-2895","GILBERT ARANDA","","  "," "," ","",167,"EPDC","DLL"
"10100","ENDICOTT","1328-30 CAMPVILLE RD.","","ENDICOTT","13760","NY","USA","607-754-7076 X 108","607-754-7150","RONALD OLIVERA ( SEND PO QUOTES TO HIM)","ROLIVEIRA@ENDICOTTPRECISION.COM","MM","N","N","AESF",171,"EPDC","DLL"
"10101","SIGMA - ALDRICH INC.;","1001 WEST SAINT PAUL AVE.","","MILWAUKEE","53201","WI","USA","414-273-3850","414-273-4979","CUSTOMER SERVICE","","  "," "," ","",172,"EPDC","DLL"
"10102","WLS STAMPING CO.","3292 E. 80TH. ST.","","CLEVELAND","44104","OH","USA","216-271-5100","216-341-3203","LORRIE  LAWRENCE1937","LLAWRENCE@WLSSTAMPING.COM","MM","N","N","AESF",173,"EPDC","DLL"
"10103","TOLEDO COMMUTATOR CO.","1101 SOUTH CHESTNUT","","OWOSSO","48867","MI","USA","989-725-8192","989-725-5930","SUE ANN","SPLOWMAN@TOLEDOCOMM.COM / TKILDEA@TOLEDOCOMM.COM","CC","N","N","AESF",174,"EPDC","DLL"
"10104","ICC INDS.COMM","30 ALLIANCE BLVD.","","BARRIE","L4M5K3","ONTARIO","CANADA","705-728-1469","705-728-1372","JIM CLARKE","JIMC@COMMUTATOR.CA","CC","N","N","AESF",175,"EPDC","DLL"
"10107","SUNSET INDUSTRIES","1272 EAST 286 TH. ST.","","EUCLID","44132","OH","USA","216-731-8131","216-731-8716","TONY HAUPTMAN","THAUPTMAN@SUNSETINDUSTRIES.COM","MM","N","N","AESF",178,"EPDC","DLL"
"10109","WS  HAMPSHIRE; INC.;","365 KEYES AVE.;","","HAMPSHIRE","60140","IL","USA","847-683-4400","847-683-4407","ANN TURES","","  "," "," ","",180,"EPDC","DLL"
"10110","KO-BAK AUTOMATIC SCREW","4775 CHAINCRAFT RD.","","GARFIELD HEIGHT","44125-1805","OH","USA","216-587-4646","216-587-2957","EMIL ROBERT BACIK","","  "," "," ","",181,"EPDC","DLL"
