ItemNumber,ItemDescription,ItemRevision,ItemStatus,ItemClass,SQE,RunLeadTimeDays,LotSizeMinimum,LotSizeMultiplier,Planner,Buyer,InventoryQty,ItemUM,ItemUnitCost,VendorItemNumber,VendorItemDescription,VendorID,VendorName,ShipToLocation,Currency,ItemKey,VendorKey,MBS,ItemAppvStatus,QtyofBlankets,FS_PONumber,VendorPriority,FS_POLnNumber,BKPOExpireDate,LineItemOrderedQuantity,ReceiptQuantity,POLineKey,BKPOStartDate
"B14367XD","CONTACT WASH",F ,A,5 ,   ,60,0,0,DG1,DG1,1873,EA,,"B14367XD","CONTACT WASH",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,37361,17796,B,,,,0,,,,,,
"B14383XD","CONTACT C/O SILVER PLATE",F ,A,5 ,   ,50,0,0,DG1,DG1,1068,EA,,"B14383XD","CONTACT C/O SILVER PLATE",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,37368,17796,B,,,,0,,,,,,
"B14838XG","CONTACT-WASH",H ,A,5 ,   ,40,0,0,DG1,DG1,2489,EA,,"B14838XG","CONTACT-WASH",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,35087,17796,B,,,,0,,,,,,
"B14975XB","SPRING LEAF",C ,A,5 ,   ,101,10000,0,DG1,DG1,9932,EA,,"B14975XB","SPRING LEAF",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,27245,17796,B,,,,0,,,,,,
"B19136XX","CONTACT-WASH S",F ,A,5 ,   ,40,0,0,DG1,DG1,3642,EA,,"B19136XX","CONTACT-WASH S",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,33698,17796,B,,,,0,,,,,,
"516327XF","CS MOUNTING HOUSING",K ,A,5 ,   ,45,560,560,AS ,AS ,480,EA,,"516327XF","CS MOUNTING HOUSING",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,44018,17797,B,,,,0,,,,,,
"516362XC","CANCEL PAWL",D ,A,5 ,   ,45,2000,2000,AS ,AS ,1095,EA,,"516362XC","CANCEL PAWL",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,43998,17797,B,,,,0,,,,,,
"516738XB","BASE-CS M/F",C ,A,5 ,   ,30,0,0,AS ,AS ,955,EA,,"516738XB","BASE-CS M/F",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,33069,17797,B,,,,0,,,,,,
"B11355XX","ACTION PIECE",H ,A,5 ,   ,40,0,0,AS ,AS ,487,EA,,"B11355XX","ACTION PIECE",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,37312,17797,B,,,,0,,,,,,
"B11363XE","CANCEL SLIDE",E ,A,5 ,   ,40,0,0,AS ,AS ,4078,EA,,"B11363XE","CANCEL SLIDE",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,37315,17797,B,,,,0,,,,,,
"B11384XC","CAM DIMMER",C ,A,5 ,   ,40,0,0,AS ,AS ,1498,EA,,"B11384XC","CAM DIMMER",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,37323,17797,B,,,,0,,,,,,
"B14143XF","PROBE C/O",G ,A,5 ,   ,50,5000,1000,AS ,AS ,6357,EA,,"B14143XF","PROBE C/O",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,27316,17797,B,,,,1,,,,,,
"B14176XF","COVER-TOP",G ,A,5 ,   ,45,2000,2000,AS ,AS ,1196,EA,,"B14176XF","COVER-TOP",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,35101,17797,B,,,,1,,,,,,
"B14375XK","BODY",P ,A,5 ,   ,50,0,0,AS ,AS ,2273,EA,,"B14375XK","BODY",050006,"CHEMTECH PLASTICS INC.",EPDC,DLL,37367,17797,B,,,,0,,,,,,
"950704","TERMINAL 18 GA",B ,A,73,?  ,60,6000,6000,DG1,DG1,5000,EA,,"950704","TERMINAL 18 GA",050007,"MASTER MOLDED",EPDC,DLL,48256,17798,B,,,,0,,,,,,
"B14128XP","BODY TURN SIGNAL",V ,A,5 ,   ,50,5000,5000,AS ,AS ,3072,EA,,"B14128XP","BODY TURN SIGNAL",050007,"MASTER MOLDED",EPDC,DLL,27436,17798,B,,,,0,,,,,,
"B14437XC","PLUNGER T/S  10038249",F ,A,5 ,   ,50,15000,3550,AS ,AS ,1110,EA,,"B14437XC","B14438XB",050007,"MASTER MOLDED",EPDC,DLL,37369,17798,B,,,,0,,,,,,
"B14438XB","PLUNGER",C ,A,5 ,   ,50,0,0,AS ,AS ,16349,EA,,"B14438XB","PLUNGER",050007,"MASTER MOLDED",EPDC,DLL,37370,17798,B,,,,0,,,,,,
"B13598XD","CAM FOLLOWER",E ,A,5 ,   ,40,0,0,DG1,DG1,2842,EA,,"B13598XD","CAM FOLLOWER",050009,"HYTECH SPRING",EPDC,DLL,27470,17801,B,,,,0,,,,,,
"B15108XA","CAM FOLLOWER M/F CTN",E ,A,5 ,   ,100,25000,25000,DG1,DG1,15636,EA,,"B15108XA","CAM FOLLOWER M/F",050009,"HYTECH SPRING",EPDC,DLL,27246,17801,B,,,,0,,,,,,
"B17210XA","CAM FOLLOWER-SHORT (TRK)",A ,A,5 ,   ,40,0,0,DG1,DG1,4189,EA,,"B17210XA","CAM FOLLOWER-SHORT (TRK)",050009,"HYTECH SPRING",EPDC,DLL,37548,17801,B,,,,0,,,,,,
"10068397","MULTIFINGER 3 CONTACT GLD",01,A,5 ,   ,45,25000,0,DG1,DG1,4406,EA,,"10068397","MULTIFINGER 3 CONTACT GLD",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,43855,17802,B,,,,0,,,,,,
"10079959","MULTIFINGER 2 CONTACT GLD",00,A,5 ,   ,60,25000,0,DG1,DG1,9763,EA,,"10079959","MULTIFINGER",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,43856,17802,B,,,,0,,,,,,
"13385-C","INSERT",* ,A,5 ,   ,30,500,500,DG1,DG1,0,EA,,"13385-C","INSERT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,44014,17802,B,,,,0,,,,,,
"14132","INSERT; TURN SIGNAL",H ,A,5 ,   ,30,17200,17200,PUR,PUR,386,EA,,"14132","INSERT; TURN SIGNAL",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36481,17802,B,A,,,1,,,,,,
"14133","INSERT; BRAKE LAMP",D ,A,5 ,   ,30,17200,17200,PUR,PUR,1187,EA,,"14133","INSERT; BRAKE LAMP",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36482,17802,B,A,,,1,,,,,,
"14134","INSERT; FOG LAMP",E1,A,5 ,   ,30,17200,17200,DG1,DG1,7415,EA,,"14134","INSERT; FOG LAMP",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36483,17802,B,,,,0,,,,,,
"14134-10","FOG LAMP INSERT",G ,A,5 ,   ,70,15000,0,PUR,PUR,0,EA,,"14134-10","FOG LAMP INSERT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,43991,17802,B,A,,,1,,,,,,
"14137","INSERT; LIGHTING",H ,O,OB,*  ,30,17200,17200,OBS,OBS,0,EA,,"14137","INSERT; LIGHTING",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36484,17802,B,,,,0,,,,,,
"14137XF","INSERT; LIGHTING",H ,A,5 ,   ,51,0,0,DG1,DG1,16007,EA,,"14137XF","INSERT; LIGHTING",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,44734,17802,B,,,,0,,,,,,
"14137XF1","INSERT LIGHTING PLATED",H ,A,5 ,   ,30,0,0,DG1,DG1,3247,EA,,"14137XF1","INSERT LIGHTING PLATED",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,37570,17802,B,,,,0,,,,,,
"14138","INSERT; SIDE LAMP",E ,A,5 ,   ,30,17200,17200,DG1,DG1,12223,EA,,"14138","INSERT; SIDE LAMP",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36485,17802,B,,,,0,,,,,,
"14139","INSERT; HAZARD",H ,A,5 ,   ,30,17200,17200,DG1,DG1,10998,EA,,"14139","INSERT; HAZARD",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,36486,17802,B,,,,0,,,,,,
"206142","TERMINAL; MALE / CLOCK",C ,O,OB,?  ,45,10000,1000,OBS,OBS,7944,EA,,"206142","TERMINAL; MALE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50098,17802,B,A,,,1,,,,,,
"206143","TERMINAL; MALE / CLOCK",C ,O,OB,?  ,45,10000,1000,OBS,OBS,7686,EA,,"206143","TERMINAL; MALE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50099,17802,B,A,,,1,,,,,,
"206146","TERMINAL; MALE / CLOCK",C ,O,OB,?  ,45,10000,1000,OBS,OBS,8522,EA,,"206146","TERMINAL; MALE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50102,17802,B,A,,,1,,,,,,
"206165","TERMINAL; MALE  /  CLOCK",C ,O,OB,?  ,0,0,0,OBS,OBS,8796,EA,,"206165","TERMINAL; MALE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50103,17802,B,A,,,1,,,,,,
"311109","PLATE;TERMINAL AY062194-1850",C ,A,74,SN ,80,10000,0,DG1,DG1,5070,EA,,"311109","PLATE;TERMINAL AY062194-1850",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6834,17802,B,,,,0,,,,,,
"311110","PLATE;TERMINAL AY062194-1860",C ,A,74,SN ,52,10000,0,DG1,DG1,3715,EA,,"311110","PLATE;TERMINAL AY062194-1860",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6835,17802,B,,,,0,,,,,,
"311111","PLATE;TERMINAL AY062194-1870",B ,A,74,SN ,52,10000,0,DG1,DG1,11090,EA,,"311111","PLATE;TERMINAL AY062194-1870",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6836,17802,B,,,,0,,,,,,
"311112","PLATE;TERMINAL AY062194-1880",B ,A,74,SN ,52,10000,0,DG1,DG1,2310,EA,,"311112","PLATE;TERMINAL AY062194-1880",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6837,17802,B,,,,0,,,,,,
"311113","PLATE;TERMINAL AY062194-1890",B ,A,74,SN ,52,10000,0,DG1,DG1,9248,EA,,"311113","PLATE;TERMINAL AY062194-1890",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6838,17802,B,,,,0,,,,,,
"311114","PLATE;TERMINAL AY062194-1900",B ,A,74,SN ,52,10000,0,DG1,DG1,883,EA,,"311114","PLATE;TERMINAL AY062194-1900",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,6839,17802,B,,,,0,,,,,,
"756405","TERMINAL",A ,A,36,   ,45,0,0,DG1,DG1,8040,EA,,"756405","TERMINAL",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,9219,17802,B,,,,0,,,,,,
"757406","TERMINAL",00,A,36,   ,45,0,0,DG1,DG1,16957,EA,,"757406","TERMINAL",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,9239,17802,B,,,,0,,,,,,
"933470","RES CONTACT",D ,A,35,   ,45,15000,1000,DG1,DG1,6577,EA,,"933470","RES CONTACT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10596,17802,B,A,,,0,,,,,,
"933638","RES CONTACT",F ,A,35,   ,45,20000,0,DG1,DG1,5337,EA,,"933638","RES CONTACT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10712,17802,B,,,,0,,,,,,
"933656","CONTACT",AA,A,35,   ,50,10000,0,DG1,DG1,6032,EA,,"933656","CONTACT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10724,17802,B,A,,,1,,,,,,
"933658","CONTACT",AC,A,35,   ,50,10000,0,DG1,DG1,5092,EA,,"933658","CONTACT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10726,17802,B,,,,0,,,,,,
"934007","WASHER",C ,A,24,   ,45,5000,5000,DG1,DG1,6027,EA,,"934007","WASHER",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10816,17802,B,,,,0,,,,,,
"934065","CONTACT TCC & CRUISE",H ,A,24,   ,70,10000,10000,DG1,DG1,11805,EA,,"934065","CONTACT TCC & CRUISE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,10846,17802,B,,,,0,,,,,,
"97-0343-1","B2 DISK",A ,A,47,SN ,40,0,0,DG1,DG1,0,EA,,"97-0343-1","B2 DISK",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,44735,17802,B,,,,0,,,,,,
"B11376XG1","CONTACT 2",J ,A,5 ,   ,45,25000,0,DG1,DG1,69300,EA,,"B11376XG1","CONTACT 2",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,43790,17802,B,,,,0,,,,,,
"B11376XH4","CONTAC 2 BE CU C17500 UNCHAIN",J ,A,5 ,   ,40,25000,0,DG1,DG1,13756,EA,,"B11376XH4","CONTAC 2 BE CU C17500 UNCHAIN",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,37332,17802,B,,,,0,,,,,,
"B11377XJ1","CONTACT-3 C702500 NI UNCHAINED",K ,A,5 ,   ,40,25000,0,AS ,AS ,323,EA,,"B11377XJ1","CONTACT-3 C702500 NI UNCHAINED",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,37301,17802,B,,,,0,,,,,,
"B13595XF","CONTACT (ON REELS)",G ,A,5 ,   ,20,10000,0,DG1,DG1,19034,EA,,"B13595XF","CONTACT (ON REELS)",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,27296,17802,B,,,,0,,,,,,
"B13888XF","CONTACT",F ,A,5 ,   ,25,25000,0,DG1,DG1,14780,EA,,"B13888XF","CONTACT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,27261,17802,B,,,,0,,,,,,
"B14368XA","SPRING WASH ARM",A ,A,5 ,   ,50,0,0,DG1,DG1,1183,EA,,"B14368XA","SPRING WASH ARM",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,37362,17802,B,,,,0,,,,,,
"B14839XA","LINK BLADE",A ,A,5 ,   ,40,0,0,DG1,DG1,1021,EA,,"B14839XA","LINK BLADE",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,35091,17802,B,,,,0,,,,,,
"B15340XB","SPRING-LEAF",B ,A,5 ,   ,45,0,0,DG1,DG1,2417,EA,,"B15340XB","SPRING-LEAF",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,37543,17802,B,,,,0,,,,,,
"B18156XX","CONTACT HAZARD A",K ,A,5 ,   ,50,0,0,DG1,DG1,623,EA,,"B18156XX","CONTACT HAZARD A",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,33759,17802,B,,,,0,,,,,,
"B18458XM","INSERT",M ,A,5 ,   ,40,0,0,DG1,DG1,0,EA,,"B18458XM","INSERT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,39027,17802,B,,,,0,,,,,,
"B18471XX","BLADE-WASCH B",E ,A,5 ,   ,40,0,0,DG1,DG1,2029,EA,,"B18471XX","BLADE-WASCH B",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,33697,17802,B,,,,0,,,,,,
"B18501XX","SPRING-LEAF",D ,A,5 ,   ,40,0,0,DG1,DG1,3322,EA,,"B18501XX","SPRING-LEAF",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,33712,17802,B,,,,0,,,,,,
"B18966XX","T/S INSERT",E ,A,5 ,   ,50,0,0,DG1,DG1,489,EA,,"B18966XX","T/S INSERT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,43188,17802,B,,,,0,,,,,,
"P1300-19","TERMINAL; LEFT; STRAIGHT",* ,A,58,?  ,0,0,0,PUR,PUR,70,EA,,"P1300-19","TERMINAL; LEFT; STRAIGHT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50867,17802,B,,,,0,,,,,,
"P1300-21","TERMINAL; RIGHT; STRAIGHT",* ,A,58,?  ,0,0,0,PUR,PUR,70,EA,,"P1300-21","TERMINAL; RIGHT; STRAIGHT",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50868,17802,B,,,,0,,,,,,
"P2790-19","TERMINAL; LEFT; 90 BEND",A ,A,58,?  ,0,0,0,PUR,PUR,310,EA,,"P2790-19","TERMINAL; LEFT; 90 BEND",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50862,17802,B,,,,0,,,,,,
"P2790-21","TERMINAL; RIGHT; 90 BEND",A ,A,58,?  ,0,0,0,PUR,PUR,310,EA,,"P2790-21","TERMINAL; RIGHT; 90 BEND",050010,"ULTRA STAMPING & ASSEMBLY INC.",EPDC,DLL,50863,17802,B,,,,0,,,,,,
"13375XK","WJ MOUNTING HOUSISNG",L ,A,5 ,   ,50,1000,1000,AS ,AS ,400,EA,,"13375XK","WJ MOUNTING HOUSISNG",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,42136,17803,B,,,,0,,,,,,
"13381XX","ROTOR",E ,A,5 ,   ,35,1000,1000,AS ,AS ,674,EA,,"13381XX","ROTOR",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,42137,17803,S,,,,0,,,,,,
"13579XB","CONNECTOR 7 PIN",C ,A,5 ,   ,30,100,100,AS ,AS ,758,EA,,"13579XB","CONNECTOR 7 PIN",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,36889,17803,B,,,,0,,,,,,
"13589","TERMINAL BLOCK",A ,A,5 ,JOA,50,0,0,AS ,AS ,2,EA,,"13589","TERMINAL BLOCK",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,37781,17803,B,,,,0,,,,,,
"15099XB","CONNECTOR 3 PIN CAN BE CONVERTED FROM 13579XB",D ,A,5 ,   ,30,0,0,AS ,AS ,500,EA,,"15099XB","CONNECTOR 3 PIN",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,36888,17803,B,,,,0,,,,,,
"205020","SPRING/E",E ,A,52,JA ,30,15000,15000,DG1,DG1,5398,EA,,"205020","SPRING/E",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,13798,17803,B,,,,0,,,,,,
"513512XK1","ROTOR-M/F CS",* ,A,5 ,   ,30,100,100,AS ,AS ,0,EA,,"513512XK1","ROTOR-M/F CS",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33067,17803,B,,,,0,,,,,,
"A14350XH","PLATE-TOP M/F DR TRUCK",J ,A,5 ,   ,100,3500,3500,AS ,AS ,2943,EA,,"A14350XH","PLATE-TOP M/F DR TRUCK",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,37344,17803,B,,,,0,,,,,,
"B11367XN1","PLATE-TOP NS",P ,A,5 ,   ,40,0,0,AS ,AS ,23,EA,,"B11367XN1","PLATE-TOP NS",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,37317,17803,B,,,,0,,,,,,
"B11367XN2","PLATE TOP NS",Q ,A,5 ,   ,25,0,0,AS ,AS ,3186,EA,,"B11367XN2","PLATE TOP NS",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,37562,17803,B,,,,0,,,,,,
"B12473XX","ACTUATOR (PLASTIC MOLDED)",E ,A,5 ,   ,50,1200,1200,AS ,AS ,2368,EA,,"B12473XX","ACTUATOR",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,37329,17803,B,,,,0,,,,,,
"B13502XD","CANCEL PAWL",D ,A,5 ,   ,45,1000,1000,AS ,AS ,4156,EA,,"B13502XD","CANCEL PAWL",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27459,17803,B,,,,0,,,,,,
"B13510XM","ROTOR-WIPER WJ",N ,A,5 ,   ,30,1000,1000,AS ,AS ,3039,EA,,"B13510XM","ROTOR-WIPER WJ",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33031,17803,B,,,,0,,,,,,
"B13510XM1","ROTOR-WIPER CS",N ,A,5 ,   ,45,0,0,AS ,AS ,1381,EA,,"B13510XM1","ROTOR-WIPER CS",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,43861,17803,B,,,,0,,,,,,
"B13512XK","ROTOR M/F WJ",K ,A,5 ,   ,45,1000,1000,AS ,AS ,1654,EA,,"B13512XK","ROTOR M/F WJ",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27462,17803,B,,,,0,,,,,,
"B13562XX","DRIVER MOLD-WIPER",F ,A,5 ,   ,35,0,0,AS ,AS ,1781,EA,,"B13562XX","DRIVER MOLD-WIPER",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33032,17803,B,,,,0,,,,,,
"B13563XG","DRIVE RACK",G ,A,5 ,   ,35,0,0,AS ,AS ,726,EA,,"B13563XG","DRIVE RACK",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33033,17803,B,,,,0,,,,,,
"B13576XH","DRIVE MOULDING",H ,A,5 ,   ,45,1000,1000,AS ,AS ,1951,EA,,"B13576XH","DRIVE MOLD",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27463,17803,B,,,,0,,,,,,
"B13578XG","LIGHTING SLIDE C/O",G ,A,5 ,   ,45,1000,1000,AS ,AS ,875,EA,,"B13578XG","LIGHTING SLIDE C/O",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27465,17803,B,,,,0,,,,,,
"B13583XK","BODY",M ,A,5 ,   ,35,0,0,AS ,AS ,4,EA,,"B13583XK","BODY",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33035,17803,B,,,,0,,,,,,
"B13584XG","WASH SLIDE",  ,A,5 ,   ,35,100,100,AS ,AS ,576,EA,,"B13584XG","WASH SLIDE",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33036,17803,B,,,,0,,,,,,
"B13585XH","DRIVE RACK W/ INSERT MOLD",  ,A,5 ,   ,35,0,0,AS ,AS ,261,EA,,"B13585XH","DRIVE RACK W/ INSERT MOLD",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33037,17803,B,,,,0,,,,,,
"B13586XL","BASE-INSERT MOLDED",L ,A,5 ,   ,35,0,0,AS ,AS ,1445,EA,,"B13586XL","BASE-INSERT MOLDED",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,33038,17803,B,,,,0,,,,,,
"B13599XJ","DRIVE MOLD FR FOG",K ,A,5 ,   ,45,1000,1000,AS ,AS ,588,EA,,"B13599XJ","DRIVE MOLD FR FOG",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27491,17803,B,,,,0,,,,,,
"B13981XX","CAM MOULDING",G ,A,5 ,   ,45,2000,2000,AS ,AS ,329,EA,,"B13981XX","CAM MOULDING",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27472,17803,B,,,,0,,,,,,
"B14131XP","BASE INTERMEDIATE",T ,A,5 ,   ,35,1000,1000,AS ,AS ,15921,EA,,"B14131XP","BASE INTERMEDIATE",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27243,17803,S,,,,0,,,,,,
"B14131XP-10","BASE INTERMEDIATE",T ,A,5 ,   ,35,1000,1000,AS ,AS ,2529,EA,,"B14131XP-10","BASE INTERMEIATE",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,44294,17803,B,A,,,0,,,,,,
"B14136XU","BASE INSERT MOLDED TJ",W ,A,5 ,   ,35,1000,1000,AS ,AS ,3827,EA,,"B14136XU","BASE INSERT MOLDED TJ",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27267,17803,S,,,,0,,,,,,
"B14136XU1","BASE INSERT MOLDED PL/PT",W ,A,5 ,   ,35,1000,1000,AS ,AS ,2136,EA,,"B14136XU1","BASE INSERT MOLDED PL/PT",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27497,17803,S,,,,0,,,,,,
"B14183XX","CAM MOULDING",G ,A,5 ,   ,25,9000,4500,AS ,AS ,6882,EA,,"B14183XX","CAM MOULDING",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27298,17803,B,,,,0,,,,,,
"B14184XP","SHAFT CONNECTOR",R ,A,5 ,   ,45,1000,1000,AS ,AS ,11160,EA,,"B14184XP","SHAFT CONNECTOR",050011,"FABRIK MOLDED PLASTICS",EPDC,DLL,27477,17803,B,,,,0,,,,,,
